Property type,Subtype,Price,Age,Living area,Bedrooms,Bathrooms,Terrace Area,EPC score,Land surface,Taxes,Population Density,Facades,Building state,Region,Latitude,Longitude,Income
0,1,329000.0,12.0,107.0,3,1.0,30.0,5.0,0,449947939.5,5949,2.0,1.0,1,50.883392,4.3487134,2131778502.0
0,1,299000.0,7.0,89.0,2,1.0,25.0,2.0,0,160155011.6,1823,2.0,2.0,3,50.5992632,5.5389943,869075770.5
1,2,539000.0,45.0,153.0,4,1.0,13.0,2.0,846,375498087.8,1358,4.0,1.0,2,51.02803335,4.471321199996,1536825130.0
0,1,239000.0,58.0,88.0,1,1.0,0.0,3.0,0,1732023153.0,2666,2.0,1.0,2,51.2115284,4.4695254092764,7913652026.0
0,1,154000.0,57.0,70.0,2,1.0,4.0,2.0,0,1732023153.0,2666,2.0,2.0,2,51.2115284,4.4695254092764,7913652026.0
0,1,225000.0,50.0,85.0,2,1.0,5.0,2.0,0,1732023153.0,2666,3.0,2.0,2,51.1918493,4.4317026387884,7913652026.0
1,2,369000.0,65.0,202.0,3,2.0,18.0,2.0,120,127537401.5,549,2.0,1.0,2,51.0452687,4.3136108625549,507925594.2
0,1,235000.0,52.0,147.0,4,1.0,15.0,2.0,0,155464332.8,834,3.0,1.0,2,51.3233812,4.948461,735192914.1
0,1,379000.0,99.0,267.0,2,1.0,45.0,1.0,0,295066500.3,972,2.0,2.0,2,51.1933908,4.1780279,1300778697.0
0,1,249000.0,120.0,80.0,2,1.0,0.0,3.0,0,449947939.5,5949,2.0,2.0,1,50.8465573,4.351697,2131778502.0
0,1,199000.0,49.0,70.0,2,1.0,5.0,2.0,0,457993972.2,649,2.0,1.0,3,50.4110871,4.9043004277231,1913775828.0
0,1,645000.0,22.0,175.0,2,2.0,15.0,2.0,0,117950738.6,428,2.0,0.75,2,51.1091101,2.6353426015022,514998306.0
0,1,240000.0,49.0,94.0,2,1.0,0.0,3.0,0,229345422.6,1082,3.0,0.75,2,50.84408625,4.2657299667643,868256340.0
1,2,275000.0,94.0,147.0,3,1.0,15.0,5.0,770,152270120.5,615,4.0,1.0,2,51.06978945,5.271159654589,735280495.4
0,1,265000.0,16.0,134.0,3,1.0,45.0,2.0,0,112824473.1,656,2.0,2.0,2,51.04153335,5.2835531292784,542312631.8
1,2,180000.0,73.0,140.0,2,1.0,15.0,5.0,290,119377035.6,602,3.0,0.0,2,51.1855514,4.83464460985,519220277.6
1,2,345000.0,74.0,184.0,3,1.0,0.0,3.0,420,315367458.8,992,2.0,2.0,2,50.8228226,3.2284723,1373285852.0
1,2,239000.0,49.0,101.0,3,1.0,15.0,5.0,197,534224868.1,850,4.0,0.0,2,51.2147083,3.2073611,2260481804.0
1,2,350000.0,39.0,283.0,5,2.0,15.0,3.0,569,119092970.4,809,4.0,1.0,3,50.5589633,5.6387759,458037483.4
1,2,276000.0,94.0,210.0,3,1.0,0.0,3.0,370,118259556.8,911,2.0,0.0,2,51.134377,4.4456359,449618719.2
