Property type,Locality,Subtype,Construction year,Price,Type sale,Bedrooms,Living area,Equipped kitchen,Furnished,Bathrooms,Open fire,EPC score,Terrace,Terrace Area,Garden,Garden Area,Land surface,Facades,Swimming pool,Building state,URL
APARTMENT,1020,GROUND_FLOOR,2012,329000,New classified,3,107,1,0,1,0,G,1,30,1,85,0,2,0,GOOD,https://www.immoweb.be/en/classified/ground-floor/for-sale/laeken/1020/20362872
APARTMENT,4102,APARTMENT,2017,299000,New classified,2,89,1,0,1,0,B,1,25,1,148,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/seraing/4102/20365499
HOUSE,2800,HOUSE,1979,539000,New classified,4,153,1,0,1,1,C,1,13,1,490,846,4,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20365615
APARTMENT,2100,APARTMENT,1966,239000,New classified,1,88,1,0,1,0,D,0,None,1,45,0,2,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20365958
APARTMENT,2100,APARTMENT,1967,154000,New classified,2,70,1,0,1,0,B,1,4,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20364098
APARTMENT,2600,APARTMENT,1974,225000,New classified,2,85,1,0,1,0,B,1,5,0,None,0,3,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20365731
HOUSE,2870,HOUSE,1959,369000,New classified,3,202,1,0,2,0,C,1,18,1,21,120,2,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/puurs/2870/20365383
APARTMENT,2300,APARTMENT,1972,235000,New classified,4,147,1,0,1,0,C,1,None,0,None,0,3,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/turnhout/2300/20363602
APARTMENT,9100,APARTMENT,1925,379000,New classified,2,267,1,0,1,0,A,1,45,0,None,0,2,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/apartment/for-sale/sint-niklaas/9100/20363611
APARTMENT,1000,APARTMENT,1904,249000,New classified,2,80,0,0,1,0,E,0,None,0,None,0,None,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20365987
