Locality	PopulationDensity	Taxes	Income	Longitude	Latitude
1000	5949	449947939.5	2131778502	4.351697	50.8465573
1005	5949	449947939.5	2131778502	4.351697	50.8465573
1006	5949	449947939.5	2131778502	4.351697	50.8465573
1007	5949	449947939.5	2131778502	4.351697	50.8465573
1008	5949	449947939.5	2131778502	4.351697	50.8465573
1009	5949	449947939.5	2131778502	4.351697	50.8465573
1011	5949	449947939.5	2131778502	4.351697	50.8465573
1012	5949	449947939.5	2131778502	4.351697	50.8465573
1020	5949	449947939.5	2131778502	4.3487134	50.883392
1030	16504	306854640.2	1500117874	4.3737121	50.8676041
1031	16504	306854640.2	1500117874	4.3737121	50.8676041
1033	16504	306854640.2	1500117874	4.3737121	50.8676041
1035	16504	306854640.2	1500117874	4.3737121	50.8676041
1040	5949	449947939.5	2131778502	4.3895104	50.8368511
1041	5949	449947939.5	2131778502	4.3895104	50.8368511
1043	16504	306854640.2	1500117874	4.3895104	50.8368511
1044	16504	306854640.2	1500117874	4.3895104	50.8368511
1046	8826	111876957.7	527617115.4	4.3895104	50.8368511
1047	13925	339227504.3	1302755059	4.3895104	50.8368511
1048	5949	449947939.5	2131778502	4.3895104	50.8368511
1049	8826	111876957.7	527617115.4	4.3895104	50.8368511
1050	13925	339227504.3	1302755059	4.3815707	50.8222854
1060	19454	128470146.8	605649332.5	4.345668	50.8267409
1070	7066	234165333.2	1320651547	4.3123401	50.8381411
1080	16352	162859117.7	964345577.3	4.3227779	50.8543551
1081	19162	52542527.64	264850402.8	4.3257084	50.8622633
1082	8741	82525602.16	363580839.3	4.292702	50.8639835
1083	10487	76719697.9	359815934.7	4.3175103	50.8712396
1090	10427	160264266.9	733820155.2	4.3260903	50.8777634
1099	5949	449947939.5	2131778502	4.3260903	50.8777634
1105	5949	449947939.5	2131778502	4.3260903	50.8777634
1110	5949	449947939.5	2131778502	4.3260903	50.8777634
1120	5949	449947939.5	2131778502	4.390488868	50.89779605
1130	5949	449947939.5	2131778502	4.412570873	50.8919661
1140	8826	111876957.7	527617115.4	4.4021602	50.8704524
1150	4760	221943581.2	789281846.9	4.4432967	50.8292429
1160	3943	160640857	589237519.7	4.4331389	50.8156571
1170	1951	130771138	476837286.9	4.4158177	50.799394
1180	3795	412216167.7	1561760306	4.3372348	50.8018201
1190	9225	173715657	775664780.4	4.3177512	50.8091426
1200	8332	240295305.3	906316263.9	4.4284842	50.8466928
1210	23173	37708086.64	238862701.9	4.3723364	50.8530739
1212	23173	37708086.64	238862701.9	4.3723364	50.8530739
1300	844	168599427	664983931.6	4.5738899	50.6930127
1301	844	168599427	664983931.6	4.5894025	50.7111796
1310	485	42747528.6	158085907.6	4.4796542	50.7315053
1315	146	26245991.84	102382522.2	4.8384018	50.6799948
1320	188	38235596.66	143991422.5	4.7716774	50.7810287
